Tube Line,From Station,To Station,Latitude_From,Longitude_From,Latitude_To,Longitude_To,Distance (km)
Circle,Baker Street,Great Portland Street,51.52312936605881,-0.1569041929861845,51.52378856271794,-0.1439614240810903,0.9
Circle,Bayswater,Paddington,51.51211098317958,-0.1879015718782054,51.51539350022652,-0.1757367502657722,0.92
Circle,Edgware Road,Baker Street,51.519997771093394,-0.1676682526511785,51.52312936605881,-0.1569041929861845,0.82
Circle,Euston Square,Kings Cross St.Pancras,51.525468382999584,-0.1353444884426915,51.53031226194627,-0.1238721286870342,0.96
Circle,Farringdon,Barbican,51.52019551919777,-0.1048430613167642,51.52021512610784,-0.0977215780905022,0.49
Circle,Great Portland Street,Euston Square,51.52378856271794,-0.1439614240810903,51.525468382999584,-0.1353444884426915,0.62
Circle,Kings Cross St.Pancras,Farringdon,51.53031226194627,-0.1238721286870342,51.52019551919777,-0.1048430613167642,1.73
Circle,Paddington,Edgware Road,51.51539350022652,-0.1757367502657722,51.519997771093394,-0.1676682526511785,0.76
Circle,Royal Oak,Paddington,51.5182940459234,-0.1888236715468541,51.51539350022652,-0.1757367502657722,0.96
Piccadilly,Holloway Road,Caledonian Road,51.552815921064415,-0.1129356962168598,51.54788524982811,-0.1183608610646948,0.66
Piccadilly,Caledonian Road,Kings Cross St.Pancras,51.54788524982811,-0.1183608610646948,51.53031226194627,-0.1238721286870342,1.99
Piccadilly,Kings Cross St.Pancras,Russell Square,51.53031226194627,-0.1238721286870342,51.523012836646224,-0.1245901968726192,0.81
Piccadilly,Russell Square,Holborn,51.523012836646224,-0.1245901968726192,51.51723554139566,-0.1198405066029367,0.72
Piccadilly,Holborn,Covent Garden,51.51723554139566,-0.1198405066029367,51.51276003353218,-0.1245068937369663,0.59
Piccadilly,Covent Garden,Leicester Square,51.51276003353218,-0.1245068937369663,51.51129097417173,-0.1282421466298067,0.31
Piccadilly,Leicester Square,Piccadilly Circus,51.51129097417173,-0.1282421466298067,51.50969653217059,-0.1337115961590762,0.42
Piccadilly,Piccadilly Circus,Green Park,51.50969653217059,-0.1337115961590762,51.50676025371464,-0.1424775744225331,0.69
Piccadilly,Green Park,Hyde Park Corner,51.50676025371464,-0.1424775744225331,51.502583765542106,-0.1524741126318679,0.83
Jubilee,Finchley Road,Swiss Cottage,51.54709590643439,-0.1800505586324935,51.5430345616616,-0.1756266026411379,0.55
Jubilee,Swiss Cottage,St.Johns Wood,51.5430345616616,-0.1756266026411379,51.53485412839329,-0.1740648386620702,0.92
Jubilee,St.Johns Wood,Baker Street,51.53485412839329,-0.1740648386620702,51.52312936605881,-0.1569041929861845,1.76
Jubilee,Baker Street,Bond Street,51.52312936605881,-0.1569041929861845,51.513797282327445,-0.1496136085316461,1.15
Jubilee,Bond Street,Green Park,51.513797282327445,-0.1496136085316461,51.50676025371464,-0.1424775744225331,0.93
Jubilee,Green Park,Westminster,51.50676025371464,-0.1424775744225331,51.501401389193255,-0.1250020783467796,1.35
Central,St.Pauls,Chancery Lane,51.51483513873988,-0.0975710001169853,51.51849383581988,-0.1119620267624171,1.08
Central,Chancery Lane,Holborn,51.51849383581988,-0.1119620267624171,51.51723554139566,-0.1198405066029367,0.56
Central,Holborn,Tottenham Court Road,51.51723554139566,-0.1198405066029367,51.516210657936185,-0.1311104379402324,0.79
Central,Tottenham Court Road,Oxford Circus,51.516210657936185,-0.1311104379402324,51.51522317440166,-0.1408361701333405,0.68
Central,Oxford Circus,Bond Street,51.51522317440166,-0.1408361701333405,51.513797282327445,-0.1496136085316461,0.63
Central,Bond Street,Marble Arch,51.513797282327445,-0.1496136085316461,51.51396523465938,-0.1585712147927576,0.62
Central,Marble Arch,Lancaster Gate,51.51396523465938,-0.1585712147927576,51.511890658328326,-0.1754299267897915,1.19

